domain,agency,status,redirect,xml,items,pdfs,completion
data.medicaid.gov,"Department of Health and Human Services",200,"https://data.medicaid.gov/sitemap.xml",true,549,0,1
sen.gov,"United States Senate",404,"https://sen.gov/sitemap.xml",false,0,0,0
ussemiquincentennial.gov,"U.S. Semiquincentennial Commission",200,"https://ussemiquincentennial.gov/sitemap.xml",true,1,0,1
uscc.gov,"U.S.-China Economic and Security Review Commission",200,"https://www.uscc.gov/sitemap.xml",true,750,0,0.6363636363636364
adlnet.org,"Department of Defense",200,"https://www.adlnet.org/sitemap_index.xml",true,19,0,1
uscapitolpolice.gov,"U.S. Capitol Police",500,"undefined",false,0,0,0
ushr.gov,"The Legislative Branch",500,"undefined",false,0,0,0
uscp.gov,"U.S. Capitol Police",404,"https://www.uscp.gov/sitemap.xml",false,0,0,0
ushouse.gov,"The Legislative Branch",500,"undefined",false,0,0,0
tmdbhouse.gov,"The Legislative Branch",500,"undefined",false,0,0,0
usa250.gov,"U.S. Semiquincentennial Commission",200,"https://america250.org/sitemap.xml",true,4388,0,0.9056603773584906
america250.gov,"U.S. Semiquincentennial Commission",200,"https://america250.org/sitemap.xml",true,4388,0,0.9056603773584906
afnpacific.net,"Department of Defense",200,"https://www.afn.mil/",false,0,3,0
republicanwhip.gov,"The Legislative Branch",404,"https://www.majoritywhip.gov/sitemap.xml",false,0,0,0
speaker.gov,"The Legislative Branch",200,"https://www.speaker.gov/sitemap.xml",true,0,0,0
republicanleader.gov,"The Legislative Branch",404,"https://www.majorityleader.gov/sitemap.xml",false,0,0,0
ppdcecc.gov,"The Legislative Branch",200,"https://www.ppdcecc.gov/session_timeout.do",false,0,0,1
majoritywhip.gov,"The Legislative Branch",404,"https://www.majoritywhip.gov/sitemap.xml",false,0,0,0
minoritywhip.gov,"The Legislative Branch",404,"https://democraticwhip.house.gov/sitemap.xml",false,0,0,0
majorityleader.gov,"The Legislative Branch",404,"https://www.majorityleader.gov/sitemap.xml",false,0,0,0
jct.gov,"The Legislative Branch",403,"https://www.jct.gov/sitemap.xml/",false,0,0,0
housedems.gov,"The Legislative Branch",500,"undefined",false,0,0,0
taxreform.gov,"The Legislative Branch",500,"undefined",false,0,0,0
republicans.gov,"The Legislative Branch",500,"undefined",false,0,0,0
housecommunications.gov,"The Legislative Branch",404,"https://www.housecommunications.gov/sitemap.xml",false,0,0,1
house.gov,"The Legislative Branch",404,"https://www.house.gov/sitemap.xml",false,0,0,0
gopwhip.gov,"The Legislative Branch",404,"https://www.majoritywhip.gov/sitemap.xml",false,0,0,0
housenewsletters.gov,"The Legislative Branch",500,"undefined",false,0,0,0
houselive.gov,"The Legislative Branch",500,"undefined",false,0,0,0
dems.gov,"The Legislative Branch",200,"https://www.dems.gov/sitemap.xml",true,0,0,0
gopleader.gov,"The Legislative Branch",404,"https://www.majorityleader.gov/sitemap.xml",false,0,0,0
democrats.gov,"The Legislative Branch",500,"undefined",false,0,0,0
gop.gov,"The Legislative Branch",404,"https://www.gop.gov/sitemap.xml",false,0,0,0
democraticwhip.gov,"The Legislative Branch",404,"https://democraticwhip.house.gov/sitemap.xml",false,0,0,0
chinacommission.gov,"The Legislative Branch",500,"undefined",false,0,0,0
china-commission.gov,"The Legislative Branch",500,"undefined",false,0,0,0
democraticleader.gov,"The Legislative Branch",404,"https://democraticleader.house.gov/sitemap.xml",false,0,0,0
housedemocrats.gov,"The Legislative Branch",500,"undefined",false,0,0,0
assistantdemocraticleader.gov,"The Legislative Branch",500,"undefined",false,0,0,0
housed.gov,"The Legislative Branch",500,"undefined",false,0,0,0
cecc.gov,"The Legislative Branch",404,"https://www.cecc.gov/sitemap.xml",false,0,0,0
csce.gov,"The Legislative Branch",200,"https://www.csce.gov/sitemap_index.xml",true,3985,0,1
compliance.gov,"Office of Congressional Workplace Rights",500,"undefined",false,0,0,0
openworld.gov,"Open World Leadership Center",404,"https://www.openworld.gov/sitemap.xml",false,0,0,0
stennis.gov,"Stennis Center for Public Service",200,"https://stennis.gov/sitemap_index.xml",true,144,7,1
womenshistorymonth.gov,"Library of Congress",404,"https://womenshistorymonth.gov/sitemap.xml",false,0,0,1
macpac.gov,"Medicaid and CHIP Payment and Access Commission",200,"https://www.macpac.gov/sitemap.xml",true,501,0,0.2222222222222222
medpac.gov,"Medical Payment Advisory Commission",200,"https://www.medpac.gov/wp-sitemap.xml",true,3806,0,0.4042553191489362
uscongress.gov,"Library of Congress",200,"https://www.congress.gov/sitemap/index.xml",true,0,0,0
coil.gov,"Open World Leadership Center",400,"undefined",false,0,0,0
section108.gov,"Library of Congress",404,"https://section108.gov/sitemap.xml",false,0,0,0
read.gov,"Library of Congress",404,"https://read.gov/sitemap.xml",false,0,0,0
ocwr.gov,"Office of Congressional Workplace Rights",200,"https://www.ocwr.gov/sitemap_index.xml",true,1144,1,1
nativeamericanheritagemonth.gov,"Library of Congress",404,"https://nativeamericanheritagemonth.gov/sitemap.xml",false,0,0,1
loc.gov,"Library of Congress",200,"https://www.loc.gov/sitemap.xml",true,94,0,0.054545454545454564
unitedstatescongress.gov,"Library of Congress",500,"undefined",false,0,0,0
tps.gov,"Library of Congress",500,"undefined",false,0,0,0
libraryofcongress.gov,"Library of Congress",200,"https://www.loc.gov/sitemap.xml",true,94,0,0.054545454545454564
lctl.gov,"Library of Congress",500,"undefined",false,0,0,0
thomas.gov,"Library of Congress",500,"undefined",false,0,0,0
law.gov,"Library of Congress",200,"https://www.loc.gov/research-centers/law-library-of-congress/about-this-research-center/",false,0,0,0
jewishheritage.gov,"Library of Congress",200,"https://jewishheritagemonth.gov/",false,0,0,1
jewishheritagemonth.gov,"Library of Congress",404,"https://jewishheritagemonth.gov/sitemap.xml",false,0,0,1
hispanicheritagemonth.gov,"Library of Congress",404,"https://hispanicheritagemonth.gov/sitemap.xml",false,0,0,1
digitizationguidelines.gov,"Library of Congress",404,"https://www.digitizationguidelines.gov/sitemap.xml",false,0,0,0
currencyreaderapplication.gov,"Library of Congress",200,"https://currencyreader.gov/",false,0,0,1
currencyreader.gov,"Library of Congress",500,"undefined",false,0,0,0
digitalpreservation.gov,"Library of Congress",404,"https://digitalpreservation.gov/sitemap.xml",false,0,0,0
crb.gov,"Library of Congress",404,"https://www.crb.gov/sitemap.xml",false,0,0,0
copyrightclaimsboard.gov,"Library of Congress",500,"undefined",false,0,0,0
loctps.gov,"Library of Congress",500,"undefined",false,0,0,0
copyright.gov,"Library of Congress",200,"https://copyright.gov/sitemap.xml",true,1,0,0.010204081632653073
congress.gov,"Library of Congress",403,"https://www.congress.gov/sitemap/index.xml",false,0,0,0
blackhistorymonth.gov,"Library of Congress",404,"https://www.blackhistorymonth.gov/sitemap.xml",false,0,0,1
ccb.gov,"Library of Congress",200,"https://ccb.gov/sitemap.xml",true,12,0,0.5
americaslibrary.gov,"Library of Congress",200,"https://www.loc.gov/programs/the-source/about-this-program/",false,0,0,0
asianpacificheritage.gov,"Library of Congress",404,"https://asianpacificheritage.gov/sitemap.xml",false,0,0,1
literacy.gov,"Library of Congress",500,"undefined",false,0,0,0
africanamericanhistorymonth.gov,"Library of Congress",200,"https://www.blackhistorymonth.gov/",false,0,0,1
usgovernmentmanual.gov,"Government Publishing Office",404,"https://usgovernmentmanual.gov/sitemap.xml",false,0,0,0
uscode.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/uscode",false,0,0,1
senatecalendar.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/ccal",false,0,0,1
presidentialdocuments.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/cpd",false,0,0,1
lis.gov,"Library of Congress",500,"undefined",false,0,0,0
housecalendar.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/ccal",false,0,0,1
gpo.gov,"Government Publishing Office",200,"https://www.gpo.gov/sitemap/sitemap-index.xml",false,0,0,0
govinfo.gov,"Government Publishing Office",200,"https://www.govinfo.gov/sitemap/sitemap.xml",true,182,0,0.20588235294117652
fedreg.gov,"Government Publishing Office",500,"undefined",false,0,0,0
federalregister.gov,"Government Publishing Office",200,"https://unblock.federalregister.gov/",false,0,0,0
fdsys.gov,"Government Publishing Office",200,"https://www.govinfo.gov/about#fdsys-transition",false,0,4,0
crs.gov,"Library of Congress",500,"undefined",false,0,0,0
fdlp.gov,"Government Publishing Office",404,"https://fdlp.gov/sitemap.xml",false,0,0,0
ecfr.gov,"Government Publishing Office",200,"https://unblock.federalregister.gov/",false,0,0,0
gpodev.gov,"Government Publishing Office",500,"undefined",false,0,0,0
gaonet.gov,"Government Accountability Office",500,"undefined",false,0,0,0
congressionalrecord.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/crec",false,0,0,1
congressionaldirectory.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/cdir",false,0,0,1
gaoinnovations.gov,"Government Accountability Office",403,"undefined",false,0,0,0
gaoinnovation.gov,"Government Accountability Office",500,"undefined",false,0,0,0
gaoinnovationlab.gov,"Government Accountability Office",500,"undefined",false,0,0,0
eseclab.gov,"Government Accountability Office",500,"undefined",false,0,0,0
solarium.gov,"Cyberspace Solarium Commission",500,"undefined",false,0,0,0
fasab.gov,"Government Accountability Office",200,"https://fasab.gov/sitemap.xml",true,399,0,0.8846153846153846
cbo.gov,"Congressional Budget Office",403,"undefined",false,0,0,0
gao.gov,"Government Accountability Office",200,"https://www.gao.gov/sitemap",false,0,0,0
cbonews.gov,"Congressional Budget Office",404,"http://www.cbonews.gov/sitemap.xml",false,0,0,1
uscapitolgiftstore.gov,"Architect of the Capitol",500,"undefined",false,0,0,0
americanmemory.gov,"Library of Congress",500,"undefined",false,0,0,0
visitthecapital.gov,"Architect of the Capitol",404,"http://www.visitthecapital.gov/sitemap.xml",false,0,0,1
uscapitol.gov,"Architect of the Capitol",404,"http://www.uscapitol.gov/sitemap.xml",false,0,0,1
uscapitalgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0,0
visitthecapitol.gov,"Architect of the Capitol",200,"https://www.visitthecapitol.gov/sitemap.xml",true,1799,0,0.8409090909090909
capitolgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0,0
usbg.gov,"Architect of the Capitol",200,"https://www.usbg.gov/sitemap.xml",true,1,0,0.017857142857142905
capitalgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0,0
capitol.gov,"Architect of the Capitol",200,"https://www.aoc.gov/virtual-capitol",false,0,0,0
ofr.gov,"Government Publishing Office",500,"undefined",false,0,0,0
aoc.gov,"Architect of the Capitol",200,"https://www.aoc.gov/sitemap.xml",true,1089,0,0.7575757575757576
capital.gov,"Architect of the Capitol",200,"https://www.aoc.gov/virtual-capitol",false,0,0,0
ussc.gov,"U.S. Courts",500,"undefined",false,0,0,0
usprobation.gov,"U.S. Courts",200,"https://www.uscourts.gov/about-federal-courts/probation-and-pretrial-services",false,0,1,0
ustaxcourt.gov,"U.S. Courts",200,"https://ustaxcourt.gov/sitemap.xml",true,66,0,0.962962962962963
uscourts.gov,"U.S. Courts",200,"https://www.uscourts.gov/sitemap.xml",true,18000,0,0.900990099009901
uscavc.gov,"U.S. Courts",500,"http://www.uscourts.cavc.govsitemap.xml/",false,0,0,0
usc.gov,"U.S. Courts",500,"undefined",false,0,0,0
usbankruptcy.gov,"U.S. Courts",200,"https://www.uscourts.gov/court-programs/bankruptcy",false,0,2,0
judicialconference.gov,"U.S. Courts",200,"https://www.uscourts.gov/administration-policies/governance-judicial-conference",false,0,2,0
federalrules.gov,"U.S. Courts",200,"https://www.uscourts.gov/forms-rules",false,0,1,0
pacer.gov,"U.S. Courts",200,"https://pacer.uscourts.gov/sitemap.xml",true,719,174,0.9230769230769231
federalprobation.gov,"U.S. Courts",200,"https://www.uscourts.gov/about-federal-courts/probation-and-pretrial-services",false,0,1,0
uscapitolgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0,0
cavc.gov,"U.S. Courts",500,"undefined",false,0,0,0
fjc.gov,"U.S. Courts",200,"https://www.fjc.gov/sitemap.xml",true,8532,0,0.48958333333333337
federalcourts.gov,"U.S. Courts",200,"https://www.uscourts.gov/",false,0,1,0
supremecourtus.gov,"The Supreme Court",404,"https://www.supremecourt.gov/sitemap.xml",false,0,0,0
supreme-court.gov,"The Supreme Court",500,"undefined",false,0,0,0
bankruptcy.gov,"U.S. Courts",200,"https://www.uscourts.gov/court-programs/bankruptcy",false,0,2,0
supremecourt.gov,"The Supreme Court",404,"https://www.supremecourt.gov/sitemap.xml",false,0,0,0
scus.gov,"The Supreme Court",500,"undefined",false,0,0,0
scinet-test.gov,"The Supreme Court",500,"undefined",false,0,0,0
scinet.gov,"The Supreme Court",500,"undefined",false,0,0,0
sc-us.gov,"The Supreme Court",500,"undefined",false,0,0,0
fd.gov,"Administrative Office of the U. S. Courts",500,"undefined",false,0,0,0
pubservices.gov,"gov Administration",500,"undefined",false,0,0,0
rpo.gov,"gov Administration",500,"undefined",false,0,0,0
owc.gov,"gov Administration",500,"undefined",false,0,0,0
psd.gov,"gov Administration",500,"undefined",false,0,0,0
psup.gov,"gov Administration",500,"undefined",false,0,0,0
nrpo.gov,"gov Administration",500,"undefined",false,0,0,0
osdls.gov,"gov Administration",500,"undefined",false,0,0,0
jpo.gov,"gov Administration",500,"undefined",false,0,0,0
erpo.gov,"gov Administration",500,"undefined",false,0,0,0
ecfc.gov,"gov Administration",500,"undefined",false,0,0,0
scuspd.gov,"The Supreme Court",404,"https://www.scuspd.gov/sitemap.xml",false,0,0,0
domainops.gov,"gov Administration",500,"undefined",false,0,0,0
fraho.gov,"gov Administration",500,"undefined",false,0,0,0
uspsinnovates.gov,"United States Postal Service",500,"undefined",false,0,0,0
uspsinformeddelivery.gov,"United States Postal Service",500,"undefined",false,0,0,0
usps.gov,"United States Postal Service",200,"https://www.usps.com/",false,0,0,0
ustda.gov,"United States Trade and Development Agency",200,"https://www.ustda.gov/wp-sitemap.xml",true,780,0,0.975
uspsoig.gov,"United States Postal Service",200,"https://www.uspsoig.gov/sitemap.xml",true,4387,0,0.8545454545454545
postoffice.gov,"United States Postal Service",500,"undefined",false,0,0,0
myusps.gov,"United States Postal Service",500,"undefined",false,0,0,0
mail.gov,"United States Postal Service",500,"undefined",false,0,0,0
changeofaddress.gov,"United States Postal Service",500,"undefined",false,0,0,0
usitcoig.gov,"United States International Trade Commission",500,"undefined",false,0,0,0
usitc.gov,"United States International Trade Commission",200,"https://www.usitc.gov/sitemap.xml",true,27452,0,0.847457627118644
uscapital.gov,"Architect of the Capitol",500,"undefined",false,0,0,0
usidfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/",false,0,0,0
usdfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/",false,0,0,0
ata.gov,"gov Administration",500,"undefined",false,0,0,0
opic.gov,"United States International Development Finance Corporation",500,"undefined",false,0,0,0
idfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/",false,0,0,0
dfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/sitemap.xml",true,545,0,0.5588235294117647
usip.gov,"United States Institute of Peace",500,"undefined",false,0,0,0
usich.gov,"United States Interagency Council on Homelessness",200,"https://usich.gov/sitemap.xml",true,848,0,0.8095238095238095
ich.gov,"United States Interagency Council on Homelessness",500,"undefined",false,0,0,0
ushmm.gov,"United States Holocaust Memorial Museum",500,"undefined",false,0,0,0
usgcrp.gov,"United States Global Change Research Program",500,"undefined",false,0,0,0
ipcc-wg3.gov,"United States Global Change Research Program",500,"undefined",false,0,0,0
globalchange.gov,"United States Global Change Research Program",500,"undefined",false,0,0,0
ocb.gov,"United States Agency for Global Media",500,"undefined",false,0,0,0
voa.gov,"United States Agency for Global Media",200,"https://www.voanews.com/sitemap.xml",true,1,0,0.015873015873015928
ibb.gov,"United States Agency for Global Media",200,"https://www.usagm.gov/wp-sitemap.xml",false,6357,0,0.9583333333333334
usagm.gov,"United States Agency for Global Media",200,"https://www.usagm.gov/wp-sitemap.xml",false,6357,0,0.9583333333333334
bbg.gov,"United States Agency for Global Media",200,"https://www.usagm.gov/wp-sitemap.xml",false,6357,0,0.9583333333333334
adf.gov,"United States African Development Foundation",500,"undefined",false,0,0,0
jwod.gov,"United States AbilityOne",500,"undefined",false,0,0,0
purchasing.gov,"United States Postal Service",500,"undefined",false,0,0,0
access-board.gov,"United States Access Board",200,"https://www.access-board.gov/sitemap.xml",true,1161,155,1
usadf.gov,"United States African Development Foundation",404,"https://usadf.gov/sitemap.xml",false,0,0,0
abilityone.gov,"United States AbilityOne",404,"https://abilityone.gov/sitemap.xml",false,0,0,0
oscnet.gov,"U.S. Office of Special Counsel",500,"undefined",false,0,0,0
peacecorpsoig.gov,"U.S. Peace Corps",200,"https://peacecorpsoig.gov/sitemap.xml",true,395,0,0.6666666666666667
osc.gov,"U.S. Office of Special Counsel",200,"https://osc.gov/sitemap.xml",true,381,0,1
peacecorps.gov,"U.S. Peace Corps",403,"https://www.peacecorps.gov/sitemap.xml",false,0,0,0
usdapii.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
nwtrb.gov,"U.S. Nuclear Waste Technical Review Board",200,"http://www.nwtrb.gov/sitemap/sitemap.xml",true,696,0,0.6818181818181819
wildfire.gov,"U.S. Department of Agriculture",200,"https://www.wildfire.gov/sitemap.xml",true,291,0,0.8947368421052632
recreation.gov,"U.S. Department of Agriculture",200,"https://www.recreation.gov/sitemap.xml.gz",false,0,0,0
rural.gov,"U.S. Department of Agriculture",200,"https://www.rd.usda.gov/ruralgov",false,0,0,0
rec.gov,"U.S. Department of Agriculture",200,"https://www.recreation.gov/sitemap.xml.gz",false,0,0,0
symbols.gov,"U.S. Department of Agriculture",200,"https://symbols.gov/sitemap.xml",true,163,0,0.7954545454545454
nwcg.gov,"U.S. Department of Agriculture",200,"https://www.nwcg.gov/sitemap.xml",true,2195,0,0.5979381443298969
nafri.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
usda.gov,"U.S. Department of Agriculture",200,"https://www.usda.gov/sitemap.xml",true,1551,0,0.8187919463087249
itap.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
nutrition.gov,"U.S. Department of Agriculture",200,"https://www.nutrition.gov/sitemap.xml",true,246,0,0.9666666666666667
myplate.gov,"U.S. Department of Agriculture",403,"undefined",false,0,0,0
fedsfeedfamilies.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
lcacommons.gov,"U.S. Department of Agriculture",404,"https://www.lcacommons.gov/sitemap.xml",false,0,0,0
invasivespeciesinfo.gov,"U.S. Department of Agriculture",200,"https://www.invasivespeciesinfo.gov/sitemap.xml",true,360,0,0.9333333333333333
forestsandrangelands.gov,"U.S. Department of Agriculture",404,"https://forestsandrangelands.gov/sitemap.xml",false,0,0,0
farmers.gov,"U.S. Department of Agriculture",200,"https://www.farmers.gov/sitemap.xml",true,1037,3,0.7887323943661972
farmerfairness.gov,"U.S. Department of Agriculture",200,"https://www.usda.gov/farmerfairness",false,0,8,0
execsec.gov,"U.S. Department of Agriculture",200,"https://www.usda.gov/",false,0,0,0
choosemyplate.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
dietaryguidelines.gov,"U.S. Department of Agriculture",404,"https://www.dietaryguidelines.gov/sitemap.xml",false,0,0,0
bosque.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
arsusda.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
connect.gov,"U.S. Department of Agriculture",404,"https://www.connect.gov/sitemap.xml",false,0,0,1
biopreferred.gov,"U.S. Department of Agriculture",404,"https://www.biopreferred.gov/sitemap.xml",false,0,0,0
ars-grin.gov,"U.S. Department of Agriculture",404,"https://www.ars-grin.gov/sitemap.xml",false,0,0,0
22007apply.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
uspis.gov,"United States Postal Service",200,"https://www.uspis.gov/wp-sitemap.xml",true,2261,0,1
uscirf.gov,"U.S. Commission on International Religious Freedom",200,"https://www.uscirf.gov/sitemap.xml",true,58,0,0.7837837837837838
usccr.gov,"U.S. Commission on Civil Rights",200,"https://www.usccr.gov/sitemap.xml",true,864,0,0.9591836734693877
civilrightsusa.gov,"U.S. Commission on Civil Rights",500,"undefined",false,0,0,0
aff.gov,"U.S. Department of Agriculture",200,"https://www.aff.gov/aff-site-index.xml",true,4,0,0.5
cssbmb.gov,"U.S. Commission on Civil Rights",200,"https://cssbmb.gov/sitemap.xml",true,63,0,0.9565217391304348
workwithusaid.gov,"U.S. Agency for International Development",500,"undefined",false,0,0,0
empowhr.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
prosperafrica.gov,"U.S. Agency for International Development",500,"undefined",false,0,0,0
cfa.gov,"U.S. Commission of Fine Arts",200,"https://cfa.gov/sitemap.xml",true,18000,0,0.6578947368421053
usaid.gov,"U.S. Agency for International Development",404,"https://www.usaid.gov/sitemap.xml",false,0,0,1
heritageabroad.gov,"U.S. Commission for the Preservation of Americas Heritage Abroad",200,"https://www.heritageabroad.gov/sitemap_index.xml",true,147,0,1
neglecteddiseases.gov,"U.S. Agency for International Development",500,"undefined",false,0,0,0
ag.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0,0
feedthefuture.gov,"U.S. Agency for International Development",500,"undefined",false,0,0,0
worldwar1centennial.gov,"The United States World War One Centennial Commission",500,"undefined",false,0,0,0
ptf.gov,"The Intelligence Community",400,"undefined",false,0,0,0
foreignassistance.gov,"U.S. Agency for International Development",404,"https://foreignassistance.gov/errors/not_found",false,0,0,1
tva.gov,"Tennessee Valley Authority",403,"undefined",false,0,0,0
tvaoig.gov,"Tennessee Valley Authority",200,"https://www.tvaoig.gov/sitemap.xml",true,998,0,0.8888888888888888
dfafacts.gov,"U.S. Agency for International Development",200,"https://dfafacts.gov/Oops404.aspx?aspxerrorpath=/sitemap.xml",false,0,0,0
childreninadversity.gov,"U.S. Agency for International Development",500,"undefined",false,0,0,0
scrc.gov,"Southeast Crescent Regional Commission",200,"https://scrc.gov/sitemap.xml",true,1,0,0.032258064516129004
sji.gov,"State Justice Institute",500,"undefined",false,0,0,0
ssab.gov,"Social Security Advisory Board",200,"https://www.ssab.gov/sitemap.xml",true,261,1,0.78125
ssa.gov,"Social Security Administration",200,"https://www.ssa.gov/sitemap.xml",true,50000,13617,0.5733333333333333
segurosocial.gov,"Social Security Administration",404,"https://www.ssa.gov/espanol/sitemap.xml",false,0,0,0
socialsecurity.gov,"Social Security Administration",200,"https://www.ssa.gov/sitemap.xml",true,50000,13617,0.5733333333333333
smithsonian.gov,"Smithsonian Institution",500,"undefined",false,0,0,0
sbrc.gov,"Southwest Border Regional Commission",200,"https://sbrc.gov/sitemap_index.xml",true,44,0,0.8181818181818181
itis.gov,"Smithsonian Institution",200,"https://itis.gov/sitemap.xml",true,560,4,0.9666666666666667
sbir.gov,"Small Business Administration",404,"https://www.sbir.gov/sitemap.xml",false,0,0,0
stb.gov,"Surface Transportation Board",200,"https://www.stb.gov/sitemap_index.xml",true,5649,0,1
sba.gov,"Small Business Administration",200,"https://www.sba.gov/sitemap.xml",true,14735,0,1
business.gov,"Small Business Administration",200,"https://www.sba.gov/sitemap.xml",true,14735,0,1
sss.gov,"Selective Service System",404,"https://www.sss.gov/sitemap.xml",false,0,0,0
rrb.gov,"Railroad Retirement Board",404,"https://rrb.gov/sitemap.xml",false,0,0,0
nwbc.gov,"Small Business Administration",200,"https://www.nwbc.gov/sitemap_index.xml",true,353,0,1
pmi.gov,"U.S. Agency for International Development",500,"undefined",false,0,0,0
investor.gov,"Securities and Exchange Commission",200,"https://www.sec.gov/sec-sitemap.xml",true,36000,22,0.012658227848101222
sec.gov,"Securities and Exchange Commission",200,"https://www.sec.gov/sec-sitemap.xml",true,36000,22,0.011627906976744207
pclob.gov,"Privacy and Civil Liberties Oversight Board",200,"https://www.pclob.gov/sitemap.xml",true,36,10,0.5
pbrb.gov,"Public Buildings Reform Board",200,"https://www.pbrb.gov/wp-sitemap.xml",true,20,0,0.6428571428571428
presidiotrust.gov,"Presidio Trust",200,"https://wp.presidio.gov/sitemap.xml",true,1325,0,1
presidiotunneltops.gov,"Presidio Trust",200,"https://wp.presidio.gov/sitemap.xml",true,1325,0,0.7714285714285715
presidiocommercial.gov,"Presidio Trust",200,"https://wp.presidio.gov/sitemap.xml",true,1325,0,0.8837209302325582
presidio.gov,"Presidio Trust",200,"https://wp.presidio.gov/sitemap.xml",true,1325,0,1
usajobs.gov,"Office of Personnel Management",404,"https://www.usajobs.gov/sitemap.xml",false,0,0,0
usastaffing.gov,"Office of Personnel Management",200,"https://signin.usastaffing.gov/Account/SignIn?ReturnUrl=%2Fissue%2Fwsfed%3Fwa%3Dwsignin1.0%26wtrealm%3Dhttps%253a%252f%252fusastaffing.gov%252f%26wctx%3Drm%253d0%2526id%253dpassive%2526ru%253d%25252fsitemap.xml%26wct%3D2026-06-24T04%253a09%253a46Z",false,0,1,0
prc.gov,"Postal Regulatory Commission",200,"https://prc.gov/sitemap.xml",true,105,0,0.35
pbgc.gov,"Pension Benefit Guaranty Corporation",200,"https://www.pbgc.gov/sitemap.xml",true,6301,0,0.95
unlocktalent.gov,"Office of Personnel Management",200,"https://www.opm.gov/data/",false,0,0,0
pac.gov,"Office of Personnel Management",500,"undefined",false,0,0,0
telework.gov,"Office of Personnel Management",200,"https://www.opm.gov/telework/",false,0,4,0
golearn.gov,"Office of Personnel Management",500,"undefined",false,0,0,0
governmentjobs.gov,"Office of Personnel Management",404,"https://www.usajobs.gov/sitemap.xml",false,0,0,0
pmf.gov,"Office of Personnel Management",404,"https://www.pmf.gov/sitemap.xml",false,0,0,0
opm.gov,"Office of Personnel Management",200,"https://www.opm.gov/sitemap/",false,30571,9992,0.8421052631578947
fegli.gov,"Office of Personnel Management",200,"https://www.opm.gov/healthcare-insurance/life-insurance",false,0,2,0
fsafeds.gov,"Office of Personnel Management",404,"https://fsafeds.gov/sitemap.xml",false,0,0,0
feb.gov,"Office of Personnel Management",500,"undefined",false,0,0,0
fedjobs.gov,"Office of Personnel Management",404,"https://www.usajobs.gov/sitemap.xml",false,0,0,0
fedshirevets.gov,"Office of Personnel Management",200,"https://www.opm.gov/fedshirevets/",false,0,0,0
federaljobs.gov,"Office of Personnel Management",404,"https://www.usajobs.gov/sitemap.xml",false,0,0,0
chcoc.gov,"Office of Personnel Management",200,"https://www.opm.gov/chcoc",false,0,2,0
employeeexpress.gov,"Office of Personnel Management",404,"https://www.employeeexpress.gov/sitemap.xml",false,0,0,0
applicationmanager.gov,"Office of Personnel Management",500,"undefined",false,0,0,0
cybercareers.gov,"Office of Personnel Management",404,"undefined",false,0,0,0
oge.gov,"Office of Government Ethics",404,"https://oge.gov/sitemap.xml",false,0,0,0
integrity.gov,"Office of Government Ethics",200,"https://www.integrity.gov/sitemap.xml",false,0,0,1
oshrc.gov,"Occupational Safety and Health Review Commission",200,"https://www.oshrc.gov/sitemap_index.xml",true,6788,0,0.5731707317073171
nrc.gov,"Nuclear Regulatory Commission",200,"https://www.nrc.gov/sitemap.xml",true,0,0,0
nrc-gateway.gov,"Nuclear Regulatory Commission",500,"https://nrc-gateway.gov/sitemap.xml",false,0,0,0
nbrc.gov,"Northern Border Regional Commission",404,"https://www.nbrc.gov/sitemap.xml",false,0,0,0
itrd.gov,"Networking Information Technology Research and Development",500,"undefined",false,0,0,0
igorville.gov,"Non-Federal Agency",500,"undefined",false,0,0,0
nscai.gov,"National Security Commission on Artificial Intelligence",500,"undefined",false,0,0,0
ntsb.gov,"National Transportation Safety Board",200,"https://www.ntsb.gov/sitemap.xml",false,0,0,0
usap.gov,"National Science Foundation",404,"https://www.usap.gov/sitemap.xml",false,0,0,0
